period,zone,scale,year,month,deviation
1880-01-01,1,1,1880,1,-0.18
1880-02-01,1,1,1880,2,-0.24
1880-03-01,1,1,1880,3,-0.09
1880-04-01,1,1,1880,4,-0.16
1880-05-01,1,1,1880,5,-0.1
1880-06-01,1,1,1880,6,-0.21
1880-07-01,1,1,1880,7,-0.18
1880-08-01,1,1,1880,8,-0.1
1880-09-01,1,1,1880,9,-0.15
1880-10-01,1,1,1880,10,-0.23
1880-11-01,1,1,1880,11,-0.22
1880-12-01,1,1,1880,12,-0.17
1881-01-01,1,1,1881,1,-0.19
1881-02-01,1,1,1881,2,-0.14
1881-03-01,1,1,1881,3,0.03
1881-04-01,1,1,1881,4,0.05
1881-05-01,1,1,1881,5,0.06
1881-06-01,1,1,1881,6,-0.18
1881-07-01,1,1,1881,7,0.0
1881-08-01,1,1,1881,8,-0.03
1881-09-01,1,1,1881,9,-0.15
1881-10-01,1,1,1881,10,-0.22
1881-11-01,1,1,1881,11,-0.18
1881-12-01,1,1,1881,12,-0.07
1882-01-01,1,1,1882,1,0.16
1882-02-01,1,1,1882,2,0.14
1882-03-01,1,1,1882,3,0.04
1882-04-01,1,1,1882,4,-0.16
1882-05-01,1,1,1882,5,-0.14
1882-06-01,1,1,1882,6,-0.22
1882-07-01,1,1,1882,7,-0.17
1882-08-01,1,1,1882,8,-0.08
1882-09-01,1,1,1882,9,-0.15
1882-10-01,1,1,1882,10,-0.23
1882-11-01,1,1,1882,11,-0.17
1882-12-01,1,1,1882,12,-0.36
1883-01-01,1,1,1883,1,-0.29
1883-02-01,1,1,1883,2,-0.37
1883-03-01,1,1,1883,3,-0.12
1883-04-01,1,1,1883,4,-0.18
1883-05-01,1,1,1883,5,-0.18
1883-06-01,1,1,1883,6,-0.07
1883-07-01,1,1,1883,7,-0.07
1883-08-01,1,1,1883,8,-0.14
1883-09-01,1,1,1883,9,-0.22
1883-10-01,1,1,1883,10,-0.11
1883-11-01,1,1,1883,11,-0.24
1883-12-01,1,1,1883,12,-0.11
1884-01-01,1,1,1884,1,-0.13
1884-02-01,1,1,1884,2,-0.08
1884-03-01,1,1,1884,3,-0.36
1884-04-01,1,1,1884,4,-0.4
1884-05-01,1,1,1884,5,-0.34
1884-06-01,1,1,1884,6,-0.35
1884-07-01,1,1,1884,7,-0.3
1884-08-01,1,1,1884,8,-0.28
1884-09-01,1,1,1884,9,-0.27
1884-10-01,1,1,1884,10,-0.25
1884-11-01,1,1,1884,11,-0.33
1884-12-01,1,1,1884,12,-0.31
1885-01-01,1,1,1885,1,-0.58
1885-02-01,1,1,1885,2,-0.33
1885-03-01,1,1,1885,3,-0.26
1885-04-01,1,1,1885,4,-0.42
1885-05-01,1,1,1885,5,-0.45
1885-06-01,1,1,1885,6,-0.43
1885-07-01,1,1,1885,7,-0.34
1885-08-01,1,1,1885,8,-0.31
1885-09-01,1,1,1885,9,-0.28
1885-10-01,1,1,1885,10,-0.23
1885-11-01,1,1,1885,11,-0.24
1885-12-01,1,1,1885,12,-0.1
1886-01-01,1,1,1886,1,-0.44
1886-02-01,1,1,1886,2,-0.51
1886-03-01,1,1,1886,3,-0.43
1886-04-01,1,1,1886,4,-0.28
1886-05-01,1,1,1886,5,-0.24
1886-06-01,1,1,1886,6,-0.34
1886-07-01,1,1,1886,7,-0.18
1886-08-01,1,1,1886,8,-0.31
1886-09-01,1,1,1886,9,-0.24
1886-10-01,1,1,1886,10,-0.28
1886-11-01,1,1,1886,11,-0.27
1886-12-01,1,1,1886,12,-0.25
1887-01-01,1,1,1887,1,-0.72
1887-02-01,1,1,1887,2,-0.57
1887-03-01,1,1,1887,3,-0.36
1887-04-01,1,1,1887,4,-0.35
1887-05-01,1,1,1887,5,-0.31
1887-06-01,1,1,1887,6,-0.25
1887-07-01,1,1,1887,7,-0.26
1887-08-01,1,1,1887,8,-0.35
1887-09-01,1,1,1887,9,-0.26
1887-10-01,1,1,1887,10,-0.36
1887-11-01,1,1,1887,11,-0.26
1887-12-01,1,1,1887,12,-0.33
1888-01-01,1,1,1888,1,-0.34
1888-02-01,1,1,1888,2,-0.36
1888-03-01,1,1,1888,3,-0.41
1888-04-01,1,1,1888,4,-0.2
1888-05-01,1,1,1888,5,-0.22
1888-06-01,1,1,1888,6,-0.17
1888-07-01,1,1,1888,7,-0.1
1888-08-01,1,1,1888,8,-0.15
1888-09-01,1,1,1888,9,-0.12
1888-10-01,1,1,1888,10,0.02
1888-11-01,1,1,1888,11,0.03
1888-12-01,1,1,1888,12,-0.04
1889-01-01,1,1,1889,1,-0.09
1889-02-01,1,1,1889,2,0.17
1889-03-01,1,1,1889,3,0.06
1889-04-01,1,1,1889,4,0.1
1889-05-01,1,1,1889,5,0.0
1889-06-01,1,1,1889,6,-0.1
1889-07-01,1,1,1889,7,-0.07
1889-08-01,1,1,1889,8,-0.2
1889-09-01,1,1,1889,9,-0.24
1889-10-01,1,1,1889,10,-0.25
1889-11-01,1,1,1889,11,-0.33
1889-12-01,1,1,1889,12,-0.28
1890-01-01,1,1,1890,1,-0.41
1890-02-01,1,1,1890,2,-0.44
1890-03-01,1,1,1890,3,-0.4
1890-04-01,1,1,1890,4,-0.3
1890-05-01,1,1,1890,5,-0.39
1890-06-01,1,1,1890,6,-0.24
1890-07-01,1,1,1890,7,-0.28
1890-08-01,1,1,1890,8,-0.39
1890-09-01,1,1,1890,9,-0.36
1890-10-01,1,1,1890,10,-0.25
1890-11-01,1,1,1890,11,-0.43
1890-12-01,1,1,1890,12,-0.31
1891-01-01,1,1,1891,1,-0.33
1891-02-01,1,1,1891,2,-0.47
1891-03-01,1,1,1891,3,-0.18
1891-04-01,1,1,1891,4,-0.27
1891-05-01,1,1,1891,5,-0.16
1891-06-01,1,1,1891,6,-0.21
1891-07-01,1,1,1891,7,-0.18
1891-08-01,1,1,1891,8,-0.17
1891-09-01,1,1,1891,9,-0.16
1891-10-01,1,1,1891,10,-0.22
1891-11-01,1,1,1891,11,-0.31
1891-12-01,1,1,1891,12,-0.04
1892-01-01,1,1,1892,1,-0.29
1892-02-01,1,1,1892,2,-0.11
1892-03-01,1,1,1892,3,-0.4
1892-04-01,1,1,1892,4,-0.34
1892-05-01,1,1,1892,5,-0.23
1892-06-01,1,1,1892,6,-0.22
1892-07-01,1,1,1892,7,-0.31
1892-08-01,1,1,1892,8,-0.27
1892-09-01,1,1,1892,9,-0.17
1892-10-01,1,1,1892,10,-0.14
1892-11-01,1,1,1892,11,-0.42
1892-12-01,1,1,1892,12,-0.38
1893-01-01,1,1,1893,1,-0.81
1893-02-01,1,1,1893,2,-0.56
1893-03-01,1,1,1893,3,-0.22
1893-04-01,1,1,1893,4,-0.27
1893-05-01,1,1,1893,5,-0.33
1893-06-01,1,1,1893,6,-0.25
1893-07-01,1,1,1893,7,-0.14
1893-08-01,1,1,1893,8,-0.25
1893-09-01,1,1,1893,9,-0.22
1893-10-01,1,1,1893,10,-0.18
1893-11-01,1,1,1893,11,-0.18
1893-12-01,1,1,1893,12,-0.31
1894-01-01,1,1,1894,1,-0.52
1894-02-01,1,1,1894,2,-0.28
1894-03-01,1,1,1894,3,-0.22
1894-04-01,1,1,1894,4,-0.44
1894-05-01,1,1,1894,5,-0.3
1894-06-01,1,1,1894,6,-0.4
1894-07-01,1,1,1894,7,-0.23
1894-08-01,1,1,1894,8,-0.23
1894-09-01,1,1,1894,9,-0.28
1894-10-01,1,1,1894,10,-0.22
1894-11-01,1,1,1894,11,-0.25
1894-12-01,1,1,1894,12,-0.2
1895-01-01,1,1,1895,1,-0.4
1895-02-01,1,1,1895,2,-0.42
1895-03-01,1,1,1895,3,-0.32
1895-04-01,1,1,1895,4,-0.22
1895-05-01,1,1,1895,5,-0.27
1895-06-01,1,1,1895,6,-0.21
1895-07-01,1,1,1895,7,-0.16
1895-08-01,1,1,1895,8,-0.17
1895-09-01,1,1,1895,9,-0.12
1895-10-01,1,1,1895,10,-0.1
1895-11-01,1,1,1895,11,-0.16
1895-12-01,1,1,1895,12,-0.13
1896-01-01,1,1,1896,1,-0.21
1896-02-01,1,1,1896,2,-0.12
1896-03-01,1,1,1896,3,-0.26
1896-04-01,1,1,1896,4,-0.3
1896-05-01,1,1,1896,5,-0.15
1896-06-01,1,1,1896,6,-0.11
1896-07-01,1,1,1896,7,-0.02
1896-08-01,1,1,1896,8,-0.05
1896-09-01,1,1,1896,9,-0.07
1896-10-01,1,1,1896,10,0.07
1896-11-01,1,1,1896,11,-0.04
1896-12-01,1,1,1896,12,-0.04
1897-01-01,1,1,1897,1,-0.15
1897-02-01,1,1,1897,2,-0.16
1897-03-01,1,1,1897,3,-0.13
1897-04-01,1,1,1897,4,-0.02
1897-05-01,1,1,1897,5,-0.01
1897-06-01,1,1,1897,6,-0.11
1897-07-01,1,1,1897,7,-0.02
1897-08-01,1,1,1897,8,-0.09
1897-09-01,1,1,1897,9,-0.08
1897-10-01,1,1,1897,10,-0.12
1897-11-01,1,1,1897,11,-0.17
1897-12-01,1,1,1897,12,-0.2
1898-01-01,1,1,1898,1,-0.02
1898-02-01,1,1,1898,2,-0.29
1898-03-01,1,1,1898,3,-0.51
1898-04-01,1,1,1898,4,-0.31
1898-05-01,1,1,1898,5,-0.3
1898-06-01,1,1,1898,6,-0.19
1898-07-01,1,1,1898,7,-0.22
1898-08-01,1,1,1898,8,-0.27
1898-09-01,1,1,1898,9,-0.21
1898-10-01,1,1,1898,10,-0.34
1898-11-01,1,1,1898,11,-0.38
