type,zone,period,year,month,mthcode,value,unit
anomaly,G,1880-01-01,1880,1,Jan,-0.18,C
anomaly,G,1880-02-01,1880,2,Feb,-0.24,C
anomaly,G,1880-03-01,1880,3,Mar,-0.09,C
anomaly,G,1880-04-01,1880,4,Apr,-0.16,C
anomaly,G,1880-05-01,1880,5,May,-0.1,C
anomaly,G,1880-06-01,1880,6,Jun,-0.21,C
anomaly,G,1880-07-01,1880,7,Jul,-0.18,C
anomaly,G,1880-08-01,1880,8,Aug,-0.1,C
anomaly,G,1880-09-01,1880,9,Sep,-0.15,C
anomaly,G,1880-10-01,1880,10,Oct,-0.23,C
anomaly,G,1880-11-01,1880,11,Nov,-0.22,C
anomaly,G,1880-12-01,1880,12,Dec,-0.17,C
anomaly,G,1881-01-01,1881,1,Jan,-0.19,C
anomaly,G,1881-02-01,1881,2,Feb,-0.14,C
anomaly,G,1881-03-01,1881,3,Mar,0.03,C
anomaly,G,1881-04-01,1881,4,Apr,0.05,C
anomaly,G,1881-05-01,1881,5,May,0.06,C
anomaly,G,1881-06-01,1881,6,Jun,-0.18,C
anomaly,G,1881-07-01,1881,7,Jul,0.0,C
anomaly,G,1881-08-01,1881,8,Aug,-0.03,C
anomaly,G,1881-09-01,1881,9,Sep,-0.15,C
anomaly,G,1881-10-01,1881,10,Oct,-0.22,C
anomaly,G,1881-11-01,1881,11,Nov,-0.18,C
anomaly,G,1881-12-01,1881,12,Dec,-0.07,C
anomaly,G,1882-01-01,1882,1,Jan,0.16,C
anomaly,G,1882-02-01,1882,2,Feb,0.14,C
anomaly,G,1882-03-01,1882,3,Mar,0.04,C
anomaly,G,1882-04-01,1882,4,Apr,-0.16,C
anomaly,G,1882-05-01,1882,5,May,-0.14,C
anomaly,G,1882-06-01,1882,6,Jun,-0.22,C
anomaly,G,1882-07-01,1882,7,Jul,-0.17,C
anomaly,G,1882-08-01,1882,8,Aug,-0.08,C
anomaly,G,1882-09-01,1882,9,Sep,-0.15,C
anomaly,G,1882-10-01,1882,10,Oct,-0.23,C
anomaly,G,1882-11-01,1882,11,Nov,-0.17,C
anomaly,G,1882-12-01,1882,12,Dec,-0.36,C
anomaly,G,1883-01-01,1883,1,Jan,-0.29,C
anomaly,G,1883-02-01,1883,2,Feb,-0.37,C
anomaly,G,1883-03-01,1883,3,Mar,-0.12,C
anomaly,G,1883-04-01,1883,4,Apr,-0.18,C
anomaly,G,1883-05-01,1883,5,May,-0.18,C
anomaly,G,1883-06-01,1883,6,Jun,-0.07,C
anomaly,G,1883-07-01,1883,7,Jul,-0.07,C
anomaly,G,1883-08-01,1883,8,Aug,-0.14,C
anomaly,G,1883-09-01,1883,9,Sep,-0.22,C
anomaly,G,1883-10-01,1883,10,Oct,-0.11,C
anomaly,G,1883-11-01,1883,11,Nov,-0.24,C
anomaly,G,1883-12-01,1883,12,Dec,-0.11,C
anomaly,G,1884-01-01,1884,1,Jan,-0.13,C
anomaly,G,1884-02-01,1884,2,Feb,-0.08,C
anomaly,G,1884-03-01,1884,3,Mar,-0.36,C
anomaly,G,1884-04-01,1884,4,Apr,-0.4,C
anomaly,G,1884-05-01,1884,5,May,-0.34,C
anomaly,G,1884-06-01,1884,6,Jun,-0.35,C
anomaly,G,1884-07-01,1884,7,Jul,-0.3,C
anomaly,G,1884-08-01,1884,8,Aug,-0.28,C
anomaly,G,1884-09-01,1884,9,Sep,-0.27,C
anomaly,G,1884-10-01,1884,10,Oct,-0.25,C
anomaly,G,1884-11-01,1884,11,Nov,-0.33,C
anomaly,G,1884-12-01,1884,12,Dec,-0.31,C
anomaly,G,1885-01-01,1885,1,Jan,-0.58,C
anomaly,G,1885-02-01,1885,2,Feb,-0.33,C
anomaly,G,1885-03-01,1885,3,Mar,-0.26,C
anomaly,G,1885-04-01,1885,4,Apr,-0.42,C
anomaly,G,1885-05-01,1885,5,May,-0.45,C
anomaly,G,1885-06-01,1885,6,Jun,-0.43,C
anomaly,G,1885-07-01,1885,7,Jul,-0.34,C
anomaly,G,1885-08-01,1885,8,Aug,-0.31,C
anomaly,G,1885-09-01,1885,9,Sep,-0.28,C
anomaly,G,1885-10-01,1885,10,Oct,-0.23,C
anomaly,G,1885-11-01,1885,11,Nov,-0.24,C
anomaly,G,1885-12-01,1885,12,Dec,-0.1,C
anomaly,G,1886-01-01,1886,1,Jan,-0.44,C
anomaly,G,1886-02-01,1886,2,Feb,-0.51,C
anomaly,G,1886-03-01,1886,3,Mar,-0.43,C
anomaly,G,1886-04-01,1886,4,Apr,-0.28,C
anomaly,G,1886-05-01,1886,5,May,-0.24,C
anomaly,G,1886-06-01,1886,6,Jun,-0.34,C
anomaly,G,1886-07-01,1886,7,Jul,-0.18,C
anomaly,G,1886-08-01,1886,8,Aug,-0.31,C
anomaly,G,1886-09-01,1886,9,Sep,-0.24,C
anomaly,G,1886-10-01,1886,10,Oct,-0.28,C
anomaly,G,1886-11-01,1886,11,Nov,-0.27,C
anomaly,G,1886-12-01,1886,12,Dec,-0.25,C
anomaly,G,1887-01-01,1887,1,Jan,-0.72,C
anomaly,G,1887-02-01,1887,2,Feb,-0.57,C
anomaly,G,1887-03-01,1887,3,Mar,-0.36,C
anomaly,G,1887-04-01,1887,4,Apr,-0.35,C
anomaly,G,1887-05-01,1887,5,May,-0.31,C
anomaly,G,1887-06-01,1887,6,Jun,-0.25,C
anomaly,G,1887-07-01,1887,7,Jul,-0.26,C
anomaly,G,1887-08-01,1887,8,Aug,-0.35,C
anomaly,G,1887-09-01,1887,9,Sep,-0.26,C
anomaly,G,1887-10-01,1887,10,Oct,-0.36,C
anomaly,G,1887-11-01,1887,11,Nov,-0.26,C
anomaly,G,1887-12-01,1887,12,Dec,-0.33,C
anomaly,G,1888-01-01,1888,1,Jan,-0.34,C
anomaly,G,1888-02-01,1888,2,Feb,-0.36,C
anomaly,G,1888-03-01,1888,3,Mar,-0.41,C
anomaly,G,1888-04-01,1888,4,Apr,-0.2,C
anomaly,G,1888-05-01,1888,5,May,-0.22,C
anomaly,G,1888-06-01,1888,6,Jun,-0.17,C
anomaly,G,1888-07-01,1888,7,Jul,-0.1,C
anomaly,G,1888-08-01,1888,8,Aug,-0.15,C
anomaly,G,1888-09-01,1888,9,Sep,-0.12,C
anomaly,G,1888-10-01,1888,10,Oct,0.02,C
anomaly,G,1888-11-01,1888,11,Nov,0.03,C
anomaly,G,1888-12-01,1888,12,Dec,-0.04,C
anomaly,G,1889-01-01,1889,1,Jan,-0.09,C
anomaly,G,1889-02-01,1889,2,Feb,0.17,C
anomaly,G,1889-03-01,1889,3,Mar,0.06,C
anomaly,G,1889-04-01,1889,4,Apr,0.1,C
anomaly,G,1889-05-01,1889,5,May,0.0,C
anomaly,G,1889-06-01,1889,6,Jun,-0.1,C
anomaly,G,1889-07-01,1889,7,Jul,-0.07,C
anomaly,G,1889-08-01,1889,8,Aug,-0.2,C
anomaly,G,1889-09-01,1889,9,Sep,-0.24,C
anomaly,G,1889-10-01,1889,10,Oct,-0.25,C
anomaly,G,1889-11-01,1889,11,Nov,-0.33,C
anomaly,G,1889-12-01,1889,12,Dec,-0.28,C
anomaly,G,1890-01-01,1890,1,Jan,-0.41,C
anomaly,G,1890-02-01,1890,2,Feb,-0.44,C
anomaly,G,1890-03-01,1890,3,Mar,-0.4,C
anomaly,G,1890-04-01,1890,4,Apr,-0.3,C
anomaly,G,1890-05-01,1890,5,May,-0.39,C
anomaly,G,1890-06-01,1890,6,Jun,-0.24,C
anomaly,G,1890-07-01,1890,7,Jul,-0.28,C
anomaly,G,1890-08-01,1890,8,Aug,-0.39,C
anomaly,G,1890-09-01,1890,9,Sep,-0.36,C
anomaly,G,1890-10-01,1890,10,Oct,-0.25,C
anomaly,G,1890-11-01,1890,11,Nov,-0.43,C
anomaly,G,1890-12-01,1890,12,Dec,-0.31,C
anomaly,G,1891-01-01,1891,1,Jan,-0.33,C
anomaly,G,1891-02-01,1891,2,Feb,-0.47,C
